config,n,n_basins,pooled_auc,fold_auc_mean,fold_auc_std,threshold,precision,recall,f1,accuracy
baseline,5413,17,0.9156590493951742,0.8875888735767208,0.09180454519861891,0.8687463998794556,0.8949958982772764,0.5009182736455464,0.6423314689431852,0.7755403657860706
regA,20403,17,0.8846223343888397,0.8626121111854502,0.05550084632034517,0.7654193043708801,0.7736423220973783,0.5003027550711474,0.607648464791322,0.7908150762142823
regB,15480,17,0.8834715885858825,0.8236568582096826,0.13488843263910053,0.77235347032547,0.7913361805979255,0.5003858024691358,0.6130938312455684,0.7885012919896641
regC,30981,17,0.8975166885777865,0.8659121391894176,0.03324663170606481,0.7947966456413269,0.8165289256198347,0.5002025111381126,0.620369207585081,0.8048481327265098
