epoch,train_loss,val_loss
1,0.890997658909103,0.9177528685993619
2,0.846437676821226,0.9442727466424307
3,0.8216245557055061,0.8387569155957963
4,0.7997370380678295,0.7985173530048795
5,0.782693393436479,0.7703946199682024
6,0.7742080611211283,0.7675284743309021
7,0.7614476798493185,0.8910993768109216
8,0.7459623177110413,0.7365647256374359
9,0.7395300232333901,0.8217385013898214
10,0.7303183866135868,0.7833596997790866
11,0.7206546793013443,0.7046846780512068
12,0.7183803798239908,0.7124888665146298
13,0.7080885576613155,1.0326946410867903
14,0.7184356116218331,0.7166684104336632
15,0.7096392074484884,0.694517528017362
16,0.6961102952927719,0.6465684605969323
17,0.6823028186221182,0.670673237906562
18,0.684083119586662,0.9139266014099121
19,0.6896532994729502,0.6980751819080777
20,0.6841468498294736,0.8730149070421854
21,0.6766559798040508,0.8553320633040534
22,0.6786647689195326,0.6736725072065989
23,0.6727339380685194,0.6817064086596171
24,0.6659543308210961,0.8017950687143538
25,0.6755551278223226,0.7581711279021369
26,0.6639012721953569,0.6998987959490882
27,0.6694596023471268,0.6437748869260153
28,0.6712332038599768,0.7454677787091997
29,0.6586365593068394,0.9715751045280032
30,0.6648426587566917,0.6410494463311301
31,0.653975236563035,1.3452293078104656
32,0.6497320422419796,0.6293141576978896
33,0.6477650558507001,0.717638416422738
34,0.6463441375964953,1.9599048760202196
35,0.6554579534280447,0.688756075170305
36,0.6464612770963598,0.873487671216329
37,0.648855725740209,1.7583198414908514
38,0.6580070194638805,0.8464276757505205
39,0.6441946049899231,0.6554432196749581
40,0.6537685064989843,0.65787340203921
41,0.6373798293463978,0.6552729739083184
42,0.6493390518941997,0.6360813842879401
43,0.6365633617948603,1.1879304779900446
44,0.6548132407076565,0.6537079479959276
