epoch,train_loss,val_loss
1,0.9285333214973917,0.9992343421493258
2,0.8899092241209381,0.8730639623744147
3,0.8647607187835538,0.8361723401716777
4,0.8538532658499114,0.8248883954116276
5,0.8380330555293025,0.795328214764595
6,0.8257607153483799,0.7701692666326251
7,0.8137848262884179,0.7735008129051754
8,0.8012942031938203,0.7534388921090535
9,0.7904550009844254,0.742903396487236
10,0.7945172913220464,0.7305558536733899
11,0.7862068692032171,0.7622607861246381
12,0.7867095974026894,0.7188639704670224
13,0.7833413469548128,0.7154518898044314
14,0.7725653195867733,0.7406652825219291
15,0.7783340403011867,0.8143943356616157
16,0.7781554740302417,0.8565325907298497
17,0.7731818053187156,0.7913466032062259
18,0.7752264582380957,1.2013432873146874
19,0.7691617075277835,0.8848936515195029
20,0.7682041248496698,0.9176746372665677
21,0.7700268239391094,0.8556242095572608
22,0.7706032928155393,0.7393464062895093
23,0.7656833983197504,0.836464735014098
24,0.7664240786007472,0.7283011142696653
25,0.7662536647855019,0.7306021004915237
