epoch,train_loss,val_loss
1,0.9035779384315991,0.8511608115264347
2,0.860186544598126,0.8204179959637778
3,0.8413695712558559,0.8201997237546104
4,0.8125328621903404,0.7782719390732902
5,0.7963120883605519,0.7465173942702157
6,0.7840776629135257,0.7483415646212441
7,0.774388347981406,0.7682917926992688
8,0.75998761956809,0.7364424552236285
9,0.7627379356837664,0.7257835992744991
10,0.7542464215247358,0.7084760751043048
11,0.7499232829594221,0.7387575720037732
12,0.7404487289366175,1.4176493457385473
13,0.7347323151885486,1.297753529889243
14,0.736975092868336,0.7041185881410327
15,0.7226058733267863,0.7486739201205117
16,0.7228254837090852,0.7301635955061231
17,0.7239478401473312,1.5358919075557165
18,0.7146109625941417,0.7646146161215646
19,0.7151497280011412,1.4596307873725891
20,0.709694248731019,0.8988694846630096
21,0.7114094671655874,1.4708803466388158
22,0.7147640986520736,0.950692389692579
23,0.7073339502342412,2.3107041461127147
24,0.7018698405046933,1.0104535988398962
25,0.7003811128803941,5.138518333435059
26,0.6991498265110079,1.279058805533818
