config,raw_pooled_auc,raw_fold_auc_mean,raw_fold_auc_std,raw_f1,stdemb_pooled_auc,stdemb_fold_auc_mean,stdemb_fold_auc_std,stdemb_f1,stdall_pooled_auc,stdall_fold_auc_mean,stdall_fold_auc_std,stdall_f1
baseline,0.9156590493951742,0.8875888735767208,0.09180454519861891,0.6423314689431852,0.9148204682769807,0.8852134565699301,0.08579164319455712,0.6436170212765957,0.908513617274331,0.8947824032323444,0.09684234612430404,0.6481751824817519
regA,0.9003344593258428,0.8676409395458989,0.05946059694508395,0.6159874608150471,0.8941573854762837,0.8578449492164422,0.06034554198626282,0.6096699129535464,0.8941030427378793,0.8516564212932618,0.06762611691601057,0.609714088873579
regB,0.8890097289692925,0.8448067777627443,0.0893373483640187,0.6140607835957524,0.883137181302404,0.8464227386785781,0.07080914427209621,0.6067333939945405,0.8802741100584499,0.8372605182407319,0.060700460976862214,0.6089497716894977
regC,0.7101927378045276,0.9084301965970208,0.046219662711010225,0.45185821170121426,0.6890884689047903,0.9061463148863468,0.05434312037043713,0.4783965539976265,0.6340029332102939,0.8938565518883882,0.06897544233212195,0.39961139896373055
