variant,n_features,feature_columns,n_train,n_test,n_train_pos,n_train_neg,scale_pos_weight,test_pos_fraction,optimal_threshold,threshold_source,roc_auc_test,pr_auc_test,precision_tuned,recall_tuned,f1_tuned,accuracy_tuned,precision_default_0.5,recall_default_0.5,f1_default_0.5,accuracy_default_0.5,pr_curve_tuned_precision,pr_curve_tuned_recall,model_path,feature_columns_path,threshold_path
geom_only,5,"orientation_diff_deg,headhead_dist_norm,apex_angle_deg,strahler_order_diff,proximity_profile_norm",4704,709,1886,2818,1.4941675503711558,0.4118476727785614,0.5952515602111816,max_precision_at_recall>=0.50,0.7473883906573371,0.7054711799578197,0.6533333333333333,0.5034246575342466,0.5686653771760155,0.685472496473907,0.5950155763239875,0.6541095890410958,0.6231647634584013,0.6741889985895627,0.6533333333333333,0.5034246575342466,models/xgb_geom_only.json,models/feature_columns_geom_only.txt,models/optimal_threshold_geom_only.txt
geom_plus_cnn_emb,9,"orientation_diff_deg,headhead_dist_norm,apex_angle_deg,strahler_order_diff,proximity_profile_norm,emb_0,emb_1,emb_2,emb_3",4704,709,1886,2818,1.4941675503711558,0.4118476727785614,0.8569019436836243,max_precision_at_recall>=0.50,0.9179478335140107,0.8804960736885145,0.9146341463414634,0.5136986301369864,0.6578947368421053,0.7799717912552891,0.774390243902439,0.8698630136986302,0.8193548387096774,0.842031029619182,0.9146341463414634,0.5136986301369864,models/xgb_geom_plus_cnn_emb.json,models/feature_columns_geom_plus_cnn_emb.txt,models/optimal_threshold_geom_plus_cnn_emb.txt
geom_plus_cnn_logit,6,"orientation_diff_deg,headhead_dist_norm,apex_angle_deg,strahler_order_diff,proximity_profile_norm,cnn_logit",4704,709,1886,2818,1.4941675503711558,0.4118476727785614,0.8546279072761536,max_precision_at_recall>=0.50,0.9186294799776618,0.8827517705243322,0.9207317073170732,0.5171232876712328,0.6622807017543859,0.7827926657263752,0.7634730538922155,0.8732876712328768,0.8146964856230032,0.8363892806770099,0.9207317073170732,0.5171232876712328,models/xgb_geom_plus_cnn_logit.json,models/feature_columns_geom_plus_cnn_logit.txt,models/optimal_threshold_geom_plus_cnn_logit.txt
